Feature,Mean_XGB_Importance,SD_XGB_Importance,Mean_SHAP,SD_SHAP
Solv_fr_sulfide,0.0,0.0,0.0,0.0
Solv_fr_imide,0.0,0.0,0.0,0.0
Solv_fr_imidazole,0.0,0.0,0.0,0.0
Solv_fr_hdrzone,0.0,0.0,0.0,0.0
Solv_fr_hdrzine,0.0,0.0,0.0,0.0
Solv_fr_nitro,0.0,0.0,0.0,0.0
Solv_fr_Ndealkylation2,0.0,0.0,0.0,0.0
Solv_SMR_VSA8,0.0,0.0,0.0,0.0
Solv_fr_N_O,0.0,0.0,0.0,0.0
Chrom_fr_oxime,0.0,0.0,0.0,0.0
Chrom_NumRadicalElectrons,0.0,0.0,0.0,0.0
Solv_NumRadicalElectrons,0.0,0.0,0.0,0.0
Chrom_SMR_VSA8,0.0,0.0,0.0,0.0
Chrom_SlogP_VSA9,0.0,0.0,0.0,0.0
Chrom_fr_thiocyan,0.0,0.0,0.0,0.0
Chrom_fr_sulfonamd,0.0,0.0,0.0,0.0
Chrom_fr_prisulfonamd,0.0,0.0,0.0,0.0
Chrom_fr_phos_ester,0.0,0.0,0.0,0.0
Chrom_fr_phos_acid,0.0,0.0,0.0,0.0
Chrom_NumSaturatedCarbocycles,0.0,0.0,0.0,0.0
Chrom_fr_nitroso,0.0,0.0,0.0,0.0
Solv_PEOE_VSA13,0.0,0.0,0.0,0.0
Chrom_fr_lactam,0.0,0.0,0.0,0.0
Chrom_fr_isothiocyan,0.0,0.0,0.0,0.0
Chrom_fr_isocyan,0.0,0.0,0.0,0.0
Chrom_fr_epoxide,0.0,0.0,0.0,0.0
Chrom_fr_dihydropyridine,0.0,0.0,0.0,0.0
Chrom_fr_diazo,0.0,0.0,0.0,0.0
Chrom_fr_benzodiazepine,0.0,0.0,0.0,0.0
Chrom_fr_barbitur,0.0,0.0,0.0,0.0
Chrom_fr_azide,0.0,0.0,0.0,0.0
Chrom_fr_HOCCN,0.0,0.0,0.0,0.0
Solv_PEOE_VSA10,0.0,0.0,0.0,0.0
Solv_PEOE_VSA14,0.0,0.0,0.0,0.0
Solv_fr_NH2,0.0,0.0,0.0,0.0
Solv_NumAromaticHeterocycles,0.0,0.0,0.0,0.0
Solv_fr_NH1,0.0,0.0,0.0,0.0
Solv_fr_Imine,0.0,0.0,0.0,0.0
Solv_fr_HOCCN,0.0,0.0,0.0,0.0
Solv_fr_C_S,0.0,0.0,0.0,0.0
Solv_fr_Ar_OH,0.0,0.0,0.0,0.0
Solv_fr_Ar_NH,0.0,0.0,0.0,0.0
Solv_fr_Ar_COO,0.0,0.0,0.0,0.0
Solv_fr_ArN,0.0,0.0,0.0,0.0
Solv_fr_Al_COO,0.0,0.0,0.0,0.0
Solv_NumRotatableBonds,0.0,0.0,0.0,0.0
Solv_NumAliphaticCarbocycles,0.0,0.0,0.0,0.0
Solv_PEOE_VSA3,0.0,0.0,0.0,0.0
Solv_EState_VSA11,0.0,0.0,0.0,0.0
Solv_EState_VSA10,0.0,0.0,0.0,0.0
Solv_SlogP_VSA9,0.0,0.0,0.0,0.0
Solv_SlogP_VSA8,0.0,0.0,0.0,0.0
Solv_SlogP_VSA7,0.0,0.0,0.0,0.0
Solv_SlogP_VSA11,0.0,0.0,0.0,0.0
Solv_SlogP_VSA10,0.0,0.0,0.0,0.0
Solv_SlogP_VSA1,0.0,0.0,0.0,0.0
Chrom_fr_SH,0.0,0.0,0.0,0.0
Solv_SMR_VSA4,0.0,0.0,0.0,0.0
Solv_fr_urea,0.0,0.0,0.0,0.0
