Feature,Mean_RF_Importance,SD_RF_Importance,Mean_SHAP,SD_SHAP
Chrom_MinPartialCharge,0.01590654452239265,0.0013722467395570791,0.004877556162767125,0.0003209004677070127
Chrom_SMR_VSA9,0.007595725270099376,0.00031613943373770716,0.0048325341756884485,0.0005075231232391533
Chrom_BCUT2D_MWHI,0.012396209474692122,0.000730117195629034,0.004825440571075313,0.0004424493285266338
Chrom_SlogP_VSA10,0.005030456359783096,0.0001990678241891305,0.004763990581254219,0.00046161677920906417
Chrom_VSA_EState3,0.008143543880724462,0.0003688411037494602,0.004418875052707905,0.00034668510040359777
Chrom_SMR_VSA10,0.009840095884713225,0.0004402628669766825,0.004073288133720098,0.0002692902614530836
Chrom_TPSA,0.014186565824783568,0.0011377904353336863,0.003958601223821119,0.0004526882312440423
Chrom_EState_VSA5,0.006442532285685107,0.00030417698444551943,0.0037648187132231807,0.00033913242300098094
Chrom_fr_para_hydroxylation,0.007162959025449849,0.0005697318705847859,0.0037587577580378657,0.00035561049984749165
Chrom_EState_VSA4,0.008567192767949086,0.0005678069762765848,0.0037188360319551214,0.00043178210289516116
Chrom_VSA_EState9,0.008728351184006724,0.0006499852786739215,0.003558118100245628,0.0002940442508038876
Chrom_EState_VSA1,0.0044122937921843965,0.000513322227677366,0.0035181694585257354,0.0004906390226636081
Chrom_fr_sulfonamd,0.005029025443982699,0.0005294817811001606,0.003471167635974867,0.0006473828771991644
Chrom_MinAbsEStateIndex,0.00849014393177551,0.0004471109484271537,0.0032966935631158455,0.00022920504566584842
Chrom_FpDensityMorgan1,0.009319110007495432,0.00038102196871640375,0.0032765269542760636,0.00013727325791687545
Chrom_FractionCSP3,0.01181322791182406,0.0006825728953971267,0.003239418937737887,0.00036398692757408585
Chrom_VSA_EState2,0.008431631695239342,0.0004171702932568989,0.0032178879783075756,0.0003198899766126806
Solv_Kappa3,0.003556372110587148,0.00038126093348927765,0.003187254304933413,0.0006004776824192912
