Feature,Mean_LGBM_Importance,SD_LGBM_Importance,Mean_SHAP,SD_SHAP
Solv_MaxPartialCharge,86.9,13.360014970051493,0.004314333561969175,0.0011032551877567113
Solv_MaxEStateIndex,74.8,11.838918869558993,0.004291001511793131,0.0008566373333785828
Chrom_EState_VSA10,27.5,7.57957782465488,0.004171274092353787,0.0018468519373337038
Solv_MinPartialCharge,62.2,9.693296652842108,0.004162347776602511,0.0007089743985341524
Solv_BCUT2D_MWLOW,59.1,6.4257295305669375,0.0041537297090734815,0.0012410059371017641
Solv_BalabanJ,70.8,8.447484832777151,0.004092644276761754,0.0009515003131952884
Solv_BCUT2D_CHGHI,56.7,7.798076685952761,0.003947201293176351,0.0021858421148868447
Chrom_NHOHCount,15.3,4.473253849269009,0.0035551479105863427,0.0019693705043548502
Chrom_fr_ester,10.9,2.5475478405713994,0.0034130318077637894,0.0011579294444035522
Solv_MinEStateIndex,65.3,7.7207512587830465,0.0033562371340732492,0.00040905293071640187
Solv_BertzCT,67.7,10.97314904665019,0.003296602224092709,0.0006029265547192502
Solv_BCUT2D_MRLOW,73.6,11.646458689232535,0.0032246207064576433,0.00041284441022650955
Solv_FpDensityMorgan1,49.4,5.2573757712379665,0.0030893723372561427,0.000460755253138595
Chrom_fr_aniline,13.4,3.5552777669262356,0.0030451342848184103,0.0012777433754937925
Solv_BCUT2D_MWHI,63.1,5.769748694700663,0.003015953554499614,0.0004800106248225598
Chrom_PEOE_VSA13,12.7,2.238302928559939,0.002900514658826992,0.0010801288238710333
Chrom_fr_Ar_OH,7.3,2.72213151776324,0.002840289899409158,0.000964275214171751
Chrom_NumAliphaticCarbocycles,14.1,3.477067730142742,0.0027252633696157056,0.00151840917397959
Solv_PEOE_VSA8,46.3,9.550392662084633,0.0026934606459509598,0.0006905370035886203
Chrom_fr_oxazole,22.2,5.15363949069005,0.0026354655669574194,0.0006616100144176242
Solv_FractionCSP3,28.0,6.44980619863884,0.0026129002565645505,0.0007473090643415448
Solv_SMR_VSA5,41.2,5.362835071116769,0.0025762654434879364,0.0008368824736953047
Solv_VSA_EState3,41.3,6.679071791798618,0.002547937632645326,0.0007408261570435575
Chrom_PEOE_VSA14,16.9,5.821511831131154,0.002491673368463238,0.0007468274706553581
Chrom_NumSaturatedHeterocycles,7.9,2.1656407827707715,0.0024314385121023373,0.0019045475204151029
Solv_TPSA,41.7,11.189727431890377,0.002391966477674197,0.0006570283551884949
Chrom_fr_morpholine,4.2,1.98997487421324,0.002328032551901694,0.0010764634208629974
Chrom_fr_Ndealkylation1,4.2,1.5362291495737217,0.0023063810327649784,0.000992972641228307
Solv_EState_VSA6,36.9,5.664803615307418,0.0022167629856393225,0.0007554914526380157
Solv_SMR_VSA6,30.9,6.090155991434045,0.002134402765403881,0.00045234829368039786
Chrom_fr_sulfonamd,1.6,1.4966629547095764,0.0019676354272913773,0.002272147393477212
Solv_VSA_EState8,42.8,7.858753081755401,0.001949839430373908,0.0004297801736165269
Chrom_fr_Ar_NH,7.9,2.7,0.0019103627706754996,0.0012943180657889076
Chrom_NumAliphaticHeterocycles,8.1,2.981610303175115,0.0017738416603476127,0.0013994582652558083
Solv_Ipc,25.3,5.728001396647874,0.001747489740134648,0.0008393674775522764
Chrom_fr_furan,5.8,3.370459909270543,0.0017271388542881932,0.0006568007805528016
Solv_PEOE_VSA9,24.3,4.148493702538308,0.0017073717554354484,0.0004820000348941967
Chrom_NumSaturatedRings,5.3,1.8466185312619388,0.0017041220478928843,0.001227453312106869
Solv_NumHDonors,18.4,4.223742416388576,0.0016903098280081782,0.00048761792407702945
Solv_EState_VSA4,24.5,3.721558813185679,0.0016870787334635825,0.0005656258238182257
Chrom_fr_Al_COO,4.3,2.3685438564654024,0.0016090991071098612,0.000967714109745741
Chrom_fr_lactone,7.3,3.0016662039607267,0.0015071495477175065,0.0005974279370008413
Chrom_fr_methoxy,5.7,2.282542442102666,0.0013893804737327609,0.0007501719752511094
Solv_PEOE_VSA7,21.9,4.887739763939975,0.0013328938801611648,0.00029575926006563974
Chrom_SlogP_VSA7,12.4,4.862098312457287,0.0012073607390746676,0.0008289342326466781
Chrom_fr_NH1,8.8,1.7204650534085253,0.0011869738753256026,0.0005384310589080909
Solv_PEOE_VSA6,11.8,3.6551333764994136,0.0011495945752156111,0.0007210115950724917
